Bedrooms,Bathrooms,SquareFootageHouse,Location,Age,PoolQuality,HasPhotovoltaics,HeatingType,HasFiberglass,IsFurnished,DateSinceForSale,HouseColor,PreviousOwnerName,HasFireplace,KitchensQuality,BathroomsQuality,BedroomsQuality,LivingRoomsQuality,SquareFootageGarden,PreviousOwnerRating,HeatingCosts,WindowModelNames,Price
1.0,1.0,35.0,,69.0,None,,Electricity,True,False,2023-11-02,Yellow,Stefan,False,Good,Good,Excellent,Good,3.0,3.02,,0M7BH4 Steel I4K3DH Window,208.13382
2.0,1.0,90.0,Urban,,Excellent,False,Oil,True,False,2024-02-18,White,Sabrina,False,Poor,Excellent,Good,Good,47.0,3.41,147.2,Steel UBXDQ9 Window,333.7513
,1.0,45.0,,61.0,None,,Oil Heating,True,True,2021-03-01,Gray,,False,Good,Poor,Good,Good,3.0,1.62,67.2,Aluminum FTTGL,52.30557
,2.0,62.0,Rural,31.0,None,False,Oil Heating,False,True,2020-07-09,Green,Natalie,False,Good,Excellent,Good,Excellent,3.0,3.12,100.8,ZXTO6ID Wood GZDVAH6 Window,256.17149
2.0,1.0,95.0,Rural,48.0,None,,Gas,False,True,2024-01-03,Yellow,,False,Poor,Good,Poor,Poor,3.0,1.2,95.0,Wood DJ7 Window,252.23226
,1.0,123.0,Urban,,Excellent,False,Oil Heating,False,True,2023-03-30,,Natalie,False,Excellent,Good,Excellent,Poor,47.0,1.47,198.4,VR83P Wood 77GR0N0 Window,385.28855
1.0,1.0,27.0,Urban,52.0,Good,,Oil Heating,True,True,2021-06-08,Gray,Stefan,False,Poor,Good,Good,Good,15.0,2.92,,Aluminum Z2GOU,102.25452
1.0,1.0,114.0,Rural,65.0,None,False,Gas,False,False,2023-08-20,Yellow,Denis,False,Good,Excellent,Poor,Poor,3.0,3.7,115.0,Steel QAW Window,301.35342
2.0,1.0,94.0,,56.0,Good,False,Electric,False,True,2022-07-27,Gray,Martin,False,Good,Excellent,Excellent,Good,15.0,1.96,57.0,IKO Aluminum QHEU,96.77255
2.0,,67.0,,59.0,None,,Gas,True,True,2020-06-09,Gray,Natalie,False,Good,Good,Excellent,Good,3.0,2.56,,0AZIA Steel UHF6L Window,213.21151
2.0,,82.0,Suburban,17.0,None,False,Electric,True,False,2021-11-25,White,Sandra,False,Excellent,Excellent,Good,Excellent,3.0,1.93,,XT5 Wood 33ALU,96.54935
1.0,,53.0,Rural,36.0,Good,,Gas,False,False,2021-03-15,,,False,Good,Excellent,Good,Excellent,15.0,1.1,,Wood 0QDL6UZ,209.67413
4.0,3.0,146.0,Suburban,17.0,None,False,Electricity,False,False,2023-01-21,White,Laura,False,Poor,Good,Good,Poor,3.0,3.1,,Steel QKSO3,142.85372
5.0,4.0,135.0,Suburbann,28.0,Excellent,False,Oil,False,True,2023-05-02,Green,Theresa,False,Excellent,Excellent,Poor,Excellent,47.0,2.82,,6ER52H Wood MPMJRBX,271.10668
,1.0,58.0,,26.0,None,,Gas,False,False,2022-10-06,White,Natalie,False,Poor,Good,Good,Good,3.0,1.69,57.0,COHA Aluminum LA0,46.14713
2.0,3.0,119.0,,43.0,Good,,Electricity,True,True,2020-03-09,White,Sandra,False,Poor,Poor,Excellent,Good,15.0,3.12,73.2,Steel KK7VA8K,392.11685
1.0,,25.0,Rural,70.0,None,False,Oil Heating,False,True,2023-07-10,Gray,Laura,False,Good,Good,Good,Good,3.0,1.57,38.4,E5J9WP Steel NKH6VG Window,227.33124
3.0,2.0,127.0,Rural,30.0,None,False,Gas,True,True,2021-12-24,Yellow,Theresa,False,Poor,Excellent,Excellent,Good,3.0,2.72,127.0,Aluminum 96R0RT,287.00647
,2.0,71.0,Rural,69.0,None,False,Gas,False,False,2021-01-08,Gray,,False,Poor,Good,Excellent,Poor,3.0,2.52,71.0,Aluminum N7X,117.40189
3.0,1.0,125.0,Suburban,43.0,None,False,Oil Heating,False,False,2023-09-02,Yellow,Andreas,False,Poor,Good,Excellent,Poor,3.0,2.32,,94ZS Wood 5UC,136.8086
1.0,1.0,61.0,Urban,64.0,None,,Gas,True,True,2023-03-18,Gray,Johanna,False,Good,Excellent,Good,Good,3.0,2.97,,Steel 2C2B Window,211.97436
,1.0,55.0,Suburbann,48.0,Good,False,Electricity,True,True,2024-03-19,Green,Andreas,False,Excellent,Good,Good,Good,15.0,1.52,,Wood YV69JM4,111.04985
,,,,,,,,,,,,,,,,,,,,,,
4.0,1.0,144.0,,56.0,None,,Oil Heating,True,False,2020-09-14,Green,Laura,False,Excellent,Excellent,Good,Good,3.0,1.76,230.4,YW1GI39 Wood V12BO,156.28329
2.0,1.0,86.0,Rural,45.0,Excellent,False,Gas,False,True,2020-01-01,Gray,Sandra,False,Good,Good,Good,Poor,47.0,2.7,,E5Z Wood 4Z8G59R,380.5778
1.0,2.0,89.0,Rural,29.0,Excellent,False,Oil Heating,True,True,2022-09-01,Yellow,Maria,False,Good,Poor,Poor,Poor,47.0,1.89,142.4,XX1AK Wood 1CD1G,459.72395
1.0,2.0,109.0,Urban,65.0,None,False,Gas,False,True,2020-11-08,White,Johanna,False,Good,Excellent,Excellent,Excellent,3.0,1.53,108.0,Wood 194XXA6 Window,209.48657
,1.0,65.0,Urban,,Excellent,False,Gas,False,False,2020-07-07,Green,Roman,False,Good,Excellent,Good,Good,47.0,2.06,,9ABELC Steel CCYWY,244.45058
2.0,1.0,114.0,Suburban,44.0,None,,Gas,True,True,2023-01-07,Green,Lukas,False,Poor,Poor,Good,Good,3.0,2.31,115.0,Wood YOA3,130.94634
5.0,1.0,141.0,,33.0,None,False,Oil,True,True,2023-07-23,Green,Florian,False,Good,Good,Good,Good,3.0,3.37,225.6,L8YQU Wood E4PH9 Window,330.07135
1.0,1.0,51.0,Urban,21.0,None,True,Oil Heating,False,False,2021-05-10,,Johanna,False,Excellent,Good,Poor,Poor,3.0,1.05,,Steel O438N0A,167.58677
3.0,2.0,100.0,Urban,,Poor,False,Oil,False,False,2023-12-01,White,,False,Excellent,Poor,Excellent,Good,11.0,1.54,,G8E6 Steel 39J0J6,261.95613
,1.0,73.0,,54.0,Excellent,,Oil Heating,False,True,2020-10-07,Gray,Roman,False,Poor,Poor,Excellent,Excellent,47.0,1.95,115.2,K8XUJ Wood RUYHZZ Window,396.25965
,2.0,71.0,Rural,30.0,None,False,Oil Heating,False,True,2023-10-01,,Denis,False,Poor,Good,Good,Good,3.0,3.17,,Steel 9HB1F Window,343.11696
2.0,2.0,82.0,Rural,31.0,None,,Gas,True,False,2021-11-01,Yellow,Stefan,False,Good,Poor,Good,Good,3.0,2.69,83.0,Z0Y Aluminum W1O Window,160.78762
1.0,1.0,70.0,Urban,,None,,Electric,True,True,2020-05-03,White,Theresa,False,Excellent,Good,Good,Good,3.0,2.64,,Steel VWV1IRK,186.16912
,1.0,60.0,Rural,47.0,Good,False,Oil,True,True,2022-05-24,White,Daniel,False,Excellent,Good,Good,Excellent,15.0,2.19,94.4,BXWP22 Steel 09QR0 Window,384.59248
1.0,1.0,35.0,Rural,9.0,Good,,Electric,False,False,2021-01-01,,,False,Good,Excellent,Good,Excellent,15.0,2.61,,SE77L Steel MOW,245.28678
,4.0,137.0,Urban,35.0,Good,,Oil,True,False,2020-04-24,White,Theresa,False,Excellent,Poor,Poor,Poor,15.0,1.52,219.2,IA9 Aluminum GKK,237.29001
,1.0,94.0,Rural,44.0,None,True,Electric,True,True,2020-02-23,Gray,Andreas,False,Excellent,Excellent,Good,Good,3.0,2.83,55.8,9HTV Aluminum SY7LHW Window,184.655
2.0,1.0,124.0,,55.0,None,False,Gas,True,True,2020-09-23,White,Sandra,False,Poor,Excellent,Good,Good,3.0,2.51,125.0,Steel E8KCI2,274.18976
,2.0,130.0,Urban,44.0,None,False,Oil,False,True,2022-11-29,Green,Martin,False,Good,Good,Excellent,Good,3.0,2.7,,M2BQ8ML Aluminum V5KI,238.76976
,2.0,102.0,Suburban,67.0,Good,False,Electricity,True,True,2022-01-28,Yellow,Stefan,False,Poor,Good,Poor,Good,15.0,4.25,61.8,WN87I3F Wood 3GXI8A Window,122.01269
,3.0,115.0,,27.0,None,False,Electric,False,False,2022-04-30,Gray,Maria,False,Excellent,Excellent,Good,Good,3.0,1.24,,Aluminum TMC,195.76558
2.0,2.0,62.0,Suburban,41.0,Good,False,Gas,False,True,2022-11-04,Yellow,Florian,False,Good,Excellent,Excellent,Excellent,15.0,4.23,63.0,Aluminum Z99Y,97.3812
1.0,1.0,52.0,Urban,66.0,None,False,Electricity,True,False,2020-09-17,Yellow,Lukas,False,Good,Poor,Good,Good,3.0,3.87,,5BG Steel APNISQ2 Window,141.32082
,1.0,45.0,Rural,55.0,Good,False,Electric,True,True,2023-01-15,White,Lukas,False,Good,Good,Excellent,Good,15.0,2.34,,Steel I14S,313.05562
,1.0,97.0,Urban,25.0,None,True,Oil Heating,False,True,2023-07-08,Green,Denis,False,Poor,Poor,Good,Excellent,3.0,2.95,,Steel 9IM,280.4225
,2.0,59.0,Urban,38.0,None,,Gas,True,False,2023-06-07,Yellow,Lukas,False,Poor,Good,Excellent,Good,3.0,1.56,,LWRIRFT Aluminum 0RKILY Window,1928.1402
1.0,1.0,53.0,,,None,False,Electricity,False,False,2023-04-28,Gray,Sandra,False,Poor,Excellent,Good,Good,3.0,1.6,,Aluminum CJ1G,57.74613
1.0,,80.0,Urban,66.0,None,,Oil Heating,True,True,2023-11-15,Green,Stefan,False,Good,Good,Good,Good,3.0,2.23,128.0,Wood IFBH9W Window,214.92703
1.0,2.0,91.0,Rural,55.0,None,False,Electric,True,True,2020-12-10,,Theresa,False,Good,Poor,Good,Good,3.0,3.08,54.0,Aluminum 6DTBM,156.49656
2.0,1.0,107.0,,43.0,None,False,Gas,True,True,2022-02-07,Yellow,Sabrina,False,Good,Poor,Poor,Good,3.0,2.53,106.0,L2GOEVO Wood OYM Window,121.44745
1.0,1.0,39.0,,35.0,Poor,False,Oil,False,True,2020-03-15,Green,Laura,False,Good,Good,Excellent,Good,11.0,1.91,,Aluminum BHM33JI,107.53215
,,77.0,Urban,59.0,Good,False,Oil,False,True,2023-02-02,Gray,Andreas,False,Poor,Good,Good,Good,15.0,2.41,,C57TS8 Wood LYX58OS Window,219.76911
4.0,4.0,149.0,,63.0,None,True,Electricity,True,False,2023-04-23,Yellow,Sandra,False,Excellent,Excellent,Good,Excellent,3.0,4.56,,1UR Aluminum VR7N2S0 Window,255.2879
1.0,2.0,88.0,,45.0,Poor,True,Gas,True,False,2021-04-24,Yellow,,False,Excellent,Good,Good,Poor,11.0,4.36,,EC2HTC Wood 9SSKFJP Window,174.56724
3.0,1.0,99.0,Urban,43.0,Good,,Oil Heating,True,True,2021-07-27,Gray,Natalie,False,Good,Excellent,Good,Poor,15.0,2.49,161.6,Steel CMV9O,328.69258
,,82.0,,,None,False,Oil Heating,False,True,2023-06-26,Green,,False,Good,Poor,Good,Excellent,3.0,2.16,,BN1X6 Aluminum 3DOUSL Window,206.58264
4.0,2.0,144.0,Urban,22.0,None,,Gas,True,False,2023-10-18,Gray,Martin,False,Good,Excellent,Excellent,Excellent,3.0,2.32,145.0,Wood Z85CG0F,257.18153
,2.0,118.0,Urban,47.0,None,False,Gas,False,False,2023-05-05,Gray,Lukas,False,Excellent,Excellent,Good,Excellent,3.0,2.42,117.0,MS077VK Wood 5QJBENP Window,198.76413
1.0,,105.0,Rural,,Good,False,Oil Heating,False,True,2023-06-02,Yellow,Theresa,False,Excellent,Good,Poor,Excellent,15.0,4.83,,JZJK Wood 4ZGLS Window,389.16592
2.0,1.0,64.0,Rural,46.0,None,False,Oil Heating,True,True,2020-12-23,White,Laura,False,Good,Poor,Excellent,Poor,3.0,3.48,,Steel NB594D,315.35215
,2.0,74.0,Rural,62.0,Good,False,Electricity,False,True,2023-07-13,Gray,,False,Good,Excellent,Good,Good,15.0,1.38,43.2,Steel S938 Window,338.79
