;PCA1;PCA2;PCA3;PCA4;PCA5;PCA6;PCA7;PCA8;PCA9;PCA10
x1;0.091;0.13;-0.065;-0.22;-0.18;0.121;-0.032;Con;0.296;-0.301
x2;-0.069;-0.212;0.119;-0.003;-0.073;-0.249;-0.132;0.348;-0.573;0.164
x3;-0.036;0.444;0.241;-0.012;-0.075;-0.316;0.11;0.252;-0.166;-0.147
x4;0.387;-0.347;0.066;0.108;0.19;-0.265;-0.059;-0.064;0.144;0.017
x5;0.066;-0.047;0.187;0.043;-0.021;-0.137;0.167;0.082;0.229;-0.02
x6;0.164;0.035;-0.414;-0.011;0.057;0.415;0.179;-0.07;-0.255;-0.122
x7;0.229;0.244;-0.093;-0.186;0.092;-0.287;0.295;-0.224;-0.068;0.274
x8;0.168;-0.184;0.068;-0.17;-0.123;0.105;0.492;0.581;0.307;0.206
x9;0.026;0.192;0.506;0.276;0.193;0.378;0.1;0.14;0.031;0.04
x10;-0.037;0.233;-0.097;-0.567;-0.026;0.239;-0.291;0.325;-0.093;0.083
x11;0.017;-0.096;-0.104;0.409;-0.027;0.143;0.135;0.243;-0.354;-0.297
x12;-0.402;-0.189;0.286;-0.304;0.18;-0.029;-0.021;-0.019;-0.028;-0.214
x13;-0.317;-0.215;0.119;0.001;0.281;0.253;0.131;-0.069;0.116;-0.122
x14;-0.487;-0.161;-0.096;-0.024;-0.453;-0.099;0.173;-0.1;0.082;-0.024
x15;0.129;-0.117;-0.138;0.192;-0.142;-0.061;-0.541;0.334;0.306;-0.183
x16;-0.018;0.446;0.128;0.257;-0.225;0.165;-0.091;-0.065;0.085;0.07
x17;-0.025;0.197;-0.111;-0.096;0.592;-0.214;-0.01;0.15;0.071;-0.355
x18;-0.162;0.174;-0.281;0.154;-0.093;-0.275;0.288;0.137;0.101;-0.354
x19;-0.277;0.027;-0.438;0.17;0.304;0.052;0.035;0.236;0.106;0.406
x20;0.317;-0.18;0.015;-0.226;-0.124;0.138;0.177;-0.024;-0.19;-0.339
